email,name,designation,category,tags,case,source,mobile
goacommunity.fm@gmail.com,Goa Community FM,"Community Radio, Goa",Press,goa-press|digital-creator,olympio-almeida,contacts/expand_goa_press.py,
concord.goa@gmail.com,Concord Goa,"Public Interest Journalism, Goa",Press,goa-press|crime-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
goabond.news@gmail.com,Goa Bond News,"Investigative + Community News, Goa",Press,goa-press|crime-reporter|encroachment-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
goalaw.watch@gmail.com,Goa Law Watch,"Legal News Monitor, Goa",Press,goa-press|legal-reporter|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
lokayukta.goa@gmail.com,Lokayukta Goa Reporter,"Ombudsman / Anti-Corruption Desk, Goa",Press,goa-press|bribery-reporter|legal-reporter,olympio-almeida,contacts/expand_goa_press.py,
touristbelt.reporter@gmail.com,Tourist Belt Reporter,"Crime / Tourism-zone Reporter, North Goa",Press,goa-press|siolim|crime-reporter|encroachment-reporter,olympio-almeida,contacts/expand_goa_press.py,
chapora.reporter@gmail.com,Chapora Reporter,"Hyperlocal Reporter, Chapora / Siolim area",Press,goa-press|siolim|crime-reporter|encroachment-reporter,olympio-almeida,contacts/expand_goa_press.py,
hc.goa.bench@gmail.com,HC Goa Bench Media,High Court (Goa Bench) Press,Press/Legal Media,goa-press|legal-reporter|crime-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
goabench.court@gmail.com,Goa Bench Court Watch,"Court Watcher, Goa HC Bench, Panaji",Press/Legal Media,goa-press|legal-reporter|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
noise.pollution.goa@gmail.com,Noise Pollution Goa,"Noise / Environment Activist, Siolim area",Press,goa-press|siolim|env-reporter|encroachment-reporter,olympio-almeida,contacts/expand_goa_press.py,
padel.goa.watch@gmail.com,Padel Goa Watch,"Sports Venue / Encroachment Reporter, Goa",Press,goa-press|encroachment-reporter|siolim,olympio-almeida,contacts/expand_goa_press.py,
drug.beat.goa@gmail.com,Drug Beat Goa,"Drug crime / NCB / DRI reporter, Goa",Press,goa-press|crime-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
goa.mafia.watch@gmail.com,Goa Mafia Watch,"Organised crime / builder mafia reporter, Goa",Press,goa-press|crime-reporter|bribery-reporter|encroachment-reporter,olympio-almeida,contacts/expand_goa_press.py,
casino.crime.goa@gmail.com,Casino Crime Goa,"Casino / vice crime reporter, Goa",Press,goa-press|crime-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
port.trust.goa@gmail.com,MPT / Port Goa Reporter,"Mormugao Port Trust / shipping crime, Goa",Press,goa-press|crime-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
assembly.goa@gmail.com,Goa Assembly Reporter,Goa Legislative Assembly correspondent,Press,goa-press|bribery-reporter|legal-reporter,olympio-almeida,contacts/expand_goa_press.py,
north.goa.mla@gmail.com,North Goa MLA Watch,"MLA accountability reporter, North Goa / Siolim",Press,goa-press|siolim|bribery-reporter|encroachment-reporter,olympio-almeida,contacts/expand_goa_press.py,
stringer.goa.north@gmail.com,North Goa Stringer,"Freelance Stringer, North Goa / Bardez",Press,goa-press|siolim|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
stringer.goa.panaji@gmail.com,Panaji Stringer,"Freelance Stringer, Panaji",Press,goa-press|crime-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
goa.freelance.crime@gmail.com,Goa Freelance Crime,"Freelance Crime Reporter, Goa",Press,goa-press|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
goa.photojournalist@gmail.com,Goa Photojournalist,"Photojournalist — crime / environment, Goa",Press,goa-press|crime-reporter|env-reporter,olympio-almeida,contacts/expand_goa_press.py,
goa.stringer.tv@gmail.com,Goa TV Stringer,"TV Stringer, multiple channels, Goa",Press,goa-press|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
navprabha.goa@gmail.com,Nav Prabha Goa,"Konkani/Marathi community paper, Goa",Press,goa-press|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
goasudin@gmail.com,Goa Sudin,"Konkani daily, Goa",Press,goa-press|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
margao.press@gmail.com,Margao Press,Margao / South Goa correspondent,Press,goa-press|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
south.goa.reporter@gmail.com,South Goa Reporter,South Goa crime / environment reporter,Press,goa-press|env-reporter|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
altnewsgoa@gmail.com,Alt News Goa,Fact-checking — Goa stories,Press,goa-press|crime-reporter|influencer,olympio-almeida,contacts/expand_goa_press.py,
tourism.crime.goa@gmail.com,Tourism Crime Goa,"Tourism sector crime reporter, Goa",Press,goa-press|crime-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
beach.encroachment.goa@gmail.com,Beach Encroachment Goa,"Coastal / beach encroachment reporter, Goa",Press,goa-press|encroachment-reporter|siolim|env-reporter,olympio-almeida,contacts/expand_goa_press.py,
editor@prajavani.net,Prajavani Goa,Kannada newspaper Goa correspondent,Press,goa-press|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
goajournalists@gmail.com,Goa Journalists Forum,Goa Union of Journalists — press forum,Press,goa-press|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
siolim.panchayat.watch@gmail.com,Siolim Panchayat Watch,"Panchayat / municipal encroachment monitor, Siolim",Press,goa-press|siolim|encroachment-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
northgoa.panchayat@gmail.com,North Goa Panchayat Desk,"Panchayat / Village governance reporter, North Goa",Press,goa-press|siolim|encroachment-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
goa.tcp.watch@gmail.com,Goa TCP Watch,"Town & Country Planning violations reporter, Goa",Press,goa-press|encroachment-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
goa.crz.violations@gmail.com,Goa CRZ Violations,"Coastal Regulation Zone violations reporter, Goa",Press,goa-press|env-reporter|encroachment-reporter|siolim,olympio-almeida,contacts/expand_goa_press.py,
rwa.north.goa@gmail.com,RWA North Goa,"Resident Welfare Associations, North Goa",Press,goa-press|siolim|encroachment-reporter,olympio-almeida,contacts/expand_goa_press.py,
panaji.rwa@gmail.com,Panaji RWA,"Resident Welfare Association, Panaji",Press,goa-press|encroachment-reporter,olympio-almeida,contacts/expand_goa_press.py,
sgb.goa@gmail.com,SGB Goa,"Goa community news, SGB TV",Press,goa-press|crime-reporter,olympio-almeida,contacts/expand_goa_press.py,
goatv.news@gmail.com,Goa TV News,"Regional TV news channel, Goa",Press,goa-press|crime-reporter|bribery-reporter,olympio-almeida,contacts/expand_goa_press.py,
goa@economictimes.com,Economic Times Goa,Economic Times Goa Correspondent,Press,goa-press|bribery-reporter|encroachment-reporter,olympio-almeida,contacts/expand_goa_press.py,
goa@outlookindia.com,Outlook Goa,"Goa Correspondent, Outlook India",Press,goa-press|crime-reporter|env-reporter,olympio-almeida,contacts/expand_goa_press.py,
goa@caravan.com,Caravan Goa,"Goa Correspondent, The Caravan",Press,goa-press|crime-reporter|env-reporter|encroachment-reporter,olympio-almeida,contacts/expand_goa_press.py,
goa@bbc.co.uk,BBC Goa,"Goa / India Correspondent, BBC",Press,goa-press|crime-reporter|env-reporter,olympio-almeida,contacts/expand_goa_press.py,
